"year","count","tag1","tag2","rank1","rank2"
2017,1340,c++,sql,7,19
2017,1266,html5,sql,9,20
2017,1246,ajax,sql,7,21
2017,1187,asp.net,sql,5,22
2017,916,android-studio,sql,10,25
2017,792,laravel,sql,4,27
2017,767,json,sql,4,28
2017,659,mysqli,sql,3,32
2017,649,angularjs,sql,40,33
2017,639,bootstrap,sql,15,34
2017,619,c,sql,10,35
2017,604,laravel-5,sql,4,36
2017,576,css3,sql,10,37
2017,535,nodejs,sql,2,40
2017,499,phpmyadmin,sql,1,43
2017,479,oracle,sql,1,44
2017,425,.net,sql,7,46
2017,416,postgresql,sql,1,48
2017,390,django,sql,25,51
2017,390,asp.net-mvc,sql,23,52
2017,352,linux,sql,3,56
2017,336,asp.net-mvc-5,sql,10,57
2017,5410,php,sql-server,3,1
2017,5312,javascript,sql-server,9,2
2017,4514,java,sql-server,12,3
2017,4455,c#,sql-server,2,4
2017,2872,android,sql-server,45,10
2017,2813,mysql,sql-server,5,11
2017,2620,jquery,sql-server,7,12
2017,2510,sql,sql-server,1,13
2017,2397,html,sql-server,15,14
2017,1245,asp.net,sql-server,3,19
2017,1107,python,sql-server,9,20
2017,987,css,sql-server,23,21
2017,901,html5,sql-server,17,23
2017,847,ajax,sql-server,21,24
2017,829,android-studio,sql-server,16,25
2017,577,json,sql-server,6,29
2017,561,laravel,sql-server,8,30
2017,527,angularjs,sql-server,49,32
2017,462,laravel-5,sql-server,7,36
2017,435,bootstrap,sql-server,27,37
2017,422,.net,sql-server,8,38
2017,414,asp.net-mvc,sql-server,16,39
2017,404,mysqli,sql-server,5,40
2017,384,css3,sql-server,22,41
2017,370,asp.net-mvc-5,sql-server,7,43
2017,353,regex,sql-server,1,44
2017,342,nodejs,sql-server,12,46
2017,316,oracle,sql-server,3,49
2017,243,postgresql,sql-server,3,56
2017,216,android-layout,sql-server,42,57
2017,441,sql,sql-server-2005,36,1
2017,378,sql-server,sql-server-2005,25,2
2017,1271,sql,sql-server-2008,7,1
2017,948,sql-server,sql-server-2008,3,2
2017,500,sql,sql-server-2008-r2,33,1
2017,288,sql-server,sql-server-2008-r2,33,3
2017,1072,sql,sql-server-2012,11,1
2017,719,sql-server,sql-server-2012,8,2
2017,683,sql,sql-server-2014,23,1
2017,541,sql-server,sql-server-2014,18,2
2017,772,python,sqlalchemy,19,1
2017,429,sql,sqldeveloper,37,1
2017,3183,java,sqlite,30,2
2017,3105,android,sqlite,32,3
2017,2697,php,sqlite,20,5
2017,2517,javascript,sqlite,44,6
2017,1446,mysql,sqlite,28,8
2017,863,android-studio,sqlite,15,10
2017,731,sql,sqlite,19,11
2017,341,json,sqlite,36,15
2017,302,sql-server,sqlite,32,17
2017,233,android-layout,sqlite,40,20
2017,641,python,ssh,26,1
2017,955,c++,struct,24,1
2017,289,laravel,sublimetext3,35,2
2017,226,laravel-5,sublimetext3,39,4
2017,244,css3,svg,52,1
2017,301,sql,swift,50,2
2017,243,ios,swift,10,4
2017,49,ios,swift2,16,3
2017,44,swift,swift2,6,4
2017,213,ios,swift3,11,3
2017,118,swift,swift3,4,4
2017,2209,php,symfony2,31,1
2017,592,sql,symfony2,29,3
2017,2411,php,symfony3,27,1
2017,527,sql,symfony3,31,2
2017,907,python,terminal,14,1
